id,item_id,dept_id,store_id,state_id,d,sales,date,weekday,wday,month,year,event_name_1
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_1,107,2011-01-29,Saturday,1,1,2011,
FOODS_3_586_CA_1_validation,FOODS_3_586,FOODS_3,CA_1,CA,d_1,42,2011-01-29,Saturday,1,1,2011,
FOODS_3_252_CA_1_validation,FOODS_3_252,FOODS_3,CA_1,CA,d_1,19,2011-01-29,Saturday,1,1,2011,
FOODS_3_586_CA_2_validation,FOODS_3_586,FOODS_3,CA_2,CA,d_1,34,2011-01-29,Saturday,1,1,2011,
FOODS_3_120_CA_1_validation,FOODS_3_120,FOODS_3,CA_1,CA,d_1,0,2011-01-29,Saturday,1,1,2011,
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_2,182,2011-01-30,Sunday,2,1,2011,
FOODS_3_586_CA_1_validation,FOODS_3_586,FOODS_3,CA_1,CA,d_2,36,2011-01-30,Sunday,2,1,2011,
FOODS_3_252_CA_1_validation,FOODS_3_252,FOODS_3,CA_1,CA,d_2,14,2011-01-30,Sunday,2,1,2011,
FOODS_3_586_CA_2_validation,FOODS_3_586,FOODS_3,CA_2,CA,d_2,25,2011-01-30,Sunday,2,1,2011,
FOODS_3_120_CA_1_validation,FOODS_3_120,FOODS_3,CA_1,CA,d_2,0,2011-01-30,Sunday,2,1,2011,
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_3,47,2011-01-31,Monday,3,1,2011,
FOODS_3_586_CA_1_validation,FOODS_3_586,FOODS_3,CA_1,CA,d_3,30,2011-01-31,Monday,3,1,2011,
FOODS_3_252_CA_1_validation,FOODS_3_252,FOODS_3,CA_1,CA,d_3,10,2011-01-31,Monday,3,1,2011,
FOODS_3_586_CA_2_validation,FOODS_3_586,FOODS_3,CA_2,CA,d_3,16,2011-01-31,Monday,3,1,2011,
FOODS_3_120_CA_1_validation,FOODS_3_120,FOODS_3,CA_1,CA,d_3,0,2011-01-31,Monday,3,1,2011,
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_4,47,2011-02-01,Tuesday,4,2,2011,
FOODS_3_586_CA_1_validation,FOODS_3_586,FOODS_3,CA_1,CA,d_4,23,2011-02-01,Tuesday,4,2,2011,
FOODS_3_252_CA_1_validation,FOODS_3_252,FOODS_3,CA_1,CA,d_4,8,2011-02-01,Tuesday,4,2,2011,
FOODS_3_586_CA_2_validation,FOODS_3_586,FOODS_3,CA_2,CA,d_4,25,2011-02-01,Tuesday,4,2,2011,
FOODS_3_120_CA_1_validation,FOODS_3_120,FOODS_3,CA_1,CA,d_4,0,2011-02-01,Tuesday,4,2,2011,
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_5,62,2011-02-02,Wednesday,5,2,2011,
FOODS_3_586_CA_1_validation,FOODS_3_586,FOODS_3,CA_1,CA,d_5,27,2011-02-02,Wednesday,5,2,2011,
FOODS_3_252_CA_1_validation,FOODS_3_252,FOODS_3,CA_1,CA,d_5,8,2011-02-02,Wednesday,5,2,2011,
FOODS_3_586_CA_2_validation,FOODS_3_586,FOODS_3,CA_2,CA,d_5,37,2011-02-02,Wednesday,5,2,2011,
FOODS_3_120_CA_1_validation,FOODS_3_120,FOODS_3,CA_1,CA,d_5,0,2011-02-02,Wednesday,5,2,2011,
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_6,90,2011-02-03,Thursday,6,2,2011,
FOODS_3_586_CA_1_validation,FOODS_3_586,FOODS_3,CA_1,CA,d_6,34,2011-02-03,Thursday,6,2,2011,
FOODS_3_252_CA_1_validation,FOODS_3_252,FOODS_3,CA_1,CA,d_6,13,2011-02-03,Thursday,6,2,2011,
FOODS_3_586_CA_2_validation,FOODS_3_586,FOODS_3,CA_2,CA,d_6,20,2011-02-03,Thursday,6,2,2011,
FOODS_3_120_CA_1_validation,FOODS_3_120,FOODS_3,CA_1,CA,d_6,0,2011-02-03,Thursday,6,2,2011,
FOODS_3_090_CA_1_validation,FOODS_3_090,FOODS_3,CA_1,CA,d_7,81,2011-02-04,Friday,7,2,2011,
FOODS_3_586_CA_1_validation,FOODS_3_586,FOODS_3,CA_1,CA,d_7,30,2011-02-04,Friday,7,2,2011,
FOODS_3_252_CA_1_validation,FOODS_3_252,FOODS_3,CA_1,CA,d_7,16,2011-02-04,Friday,7,2,2011,
FOODS_3_586_CA_2_validation,FOODS_3_586,FOODS_3,CA_2,CA,d_7,32,2011-02-04,Friday,7,2,2011,
FOODS_3_120_CA_1_validation,FOODS_3_120,FOODS_3,CA_1,CA,d_7,0,2011-02-04,Friday,7,2,2011,
